station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Albrechtshof,2024-06-26 11:00:00,5.0,13.128917,52.549396,0.0,0.0,11.0,2024-06-26,11,2,Berlin,Berlin,28.95,False
Albrechtshof,2024-06-26 12:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,12.0,2024-06-26,12,2,Berlin,Berlin,29.9,False
Albrechtshof,2024-06-26 13:00:00,5.0,13.128917,52.549396,0.0,0.0,13.0,2024-06-26,13,2,Berlin,Berlin,30.450000000000003,False
Albrechtshof,2024-06-26 14:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,14.0,2024-06-26,14,2,Berlin,Berlin,30.75,False
Albrechtshof,2024-06-26 15:00:00,5.0,13.128917,52.549396,2.0,1.5,15.0,2024-06-26,15,2,Berlin,Berlin,31.2,False
Albrechtshof,2024-06-26 16:00:00,5.0,13.128916999999998,52.549396,2.0,1.8,16.0,2024-06-26,16,2,Berlin,Berlin,30.65,False
Albrechtshof,2024-06-26 17:00:00,5.0,13.128917,52.549396,2.0,2.1666666666666665,17.0,2024-06-26,17,2,Berlin,Berlin,29.55,False
Albrechtshof,2024-06-26 18:00:00,5.0,13.128917,52.549396,2.0,2.1666666666666665,18.0,2024-06-26,18,2,Berlin,Berlin,28.45,False
Albrechtshof,2024-06-26 19:00:00,5.0,13.128917,52.549396,2.0,2.1666666666666665,19.0,2024-06-26,19,2,Berlin,Berlin,27.0,False
Albrechtshof,2024-06-26 20:00:00,5.0,13.128917,52.549396,1.0,0.6666666666666666,20.0,2024-06-26,20,2,Berlin,Berlin,25.4,False
Albrechtshof,2024-06-26 21:00:00,5.0,13.128916999999998,52.549396,0.0,0.4,21.0,2024-06-26,21,2,Berlin,Berlin,24.25,False
Albrechtshof,2024-06-26 22:00:00,5.0,13.128917,52.549396,0.0,0.0,22.0,2024-06-26,22,2,Berlin,Berlin,23.3,False
Albrechtshof,2024-06-26 23:00:00,5.0,13.128917,52.549396,0.0,0.0,23.0,2024-06-26,23,2,Berlin,Berlin,22.450000000000003,False
Albrechtshof,2024-06-27 00:00:00,5.0,13.128917,52.549396,0.0,0.0,0.0,2024-06-27,0,3,Berlin,Berlin,21.6,False
Albrechtshof,2024-06-27 02:00:00,5.0,13.128917,52.549396,0.0,0.5,2.0,2024-06-27,2,3,Berlin,Berlin,21.1,False
Albrechtshof,2024-06-27 04:00:00,5.0,13.128917,52.549396,0.0,0.0,4.0,2024-06-27,4,3,Berlin,Berlin,21.55,False
Albrechtshof,2024-06-27 05:00:00,5.0,13.128917,52.549396,0.0,0.25,5.0,2024-06-27,5,3,Berlin,Berlin,22.15,False
Albrechtshof,2024-06-27 06:00:00,5.0,13.128917,52.549396,0.0,0.0,6.0,2024-06-27,6,3,Berlin,Berlin,23.3,False
Albrechtshof,2024-06-27 07:00:00,5.0,13.128917,52.549396,0.0,0.1666666666666666,7.0,2024-06-27,7,3,Berlin,Berlin,24.200000000000003,False
Albrechtshof,2024-06-27 08:00:00,5.0,13.128917,52.549396,0.0,0.0,8.0,2024-06-27,8,3,Berlin,Berlin,24.35,False
Albrechtshof,2024-06-27 09:00:00,5.0,13.128916999999998,52.549396,2.0,2.0,9.0,2024-06-27,9,3,Berlin,Berlin,23.75,True
Albrechtshof,2024-06-27 11:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,11.0,2024-06-27,11,3,Berlin,Berlin,26.6,True
Albrechtshof,2024-06-27 12:00:00,5.0,13.128917,52.549396,2.0,2.0,12.0,2024-06-27,12,3,Berlin,Berlin,27.950000000000003,False
